mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.11,0.952,5.618,0.433,0.323,0.045,6.419,9.735,0.0
0.246,0.918,6.155,0.328,0.375,0.051,6.909,8.219,0.0
0.138,0.958,6.364,0.343,0.237,0.04,6.985,7.893,0.0
0.357,0.922,4.728,0.403,0.377,0.003,5.512,9.164,0.0
0.099,0.972,5.207,0.371,0.182,0.028,5.788,9.515,0.0
0.35,0.882,4.585,0.333,0.399,0.049,5.366,7.428,0.0
0.261,0.915,5.112,0.374,0.287,0.06,5.834,7.183,0.0
1.496,0.765,3.911,0.428,0.528,0.045,4.912,5.97,0.0
0.709,0.922,3.785,0.384,0.277,0.004,4.45,11.211,0.0
0.551,0.778,5.04,0.477,0.591,0.104,6.212,7.564,0.0
0.443,0.872,3.057,0.259,0.357,0.063,3.736,6.444,0.0
0.508,0.858,3.74,0.481,0.358,0.022,4.601,6.136,0.0
1.985,0.772,3.134,0.397,0.451,0.008,3.991,9.251,0.0
0.407,0.905,4.362,0.341,0.347,0.033,5.082,8.634,0.0
0.745,0.832,2.819,0.315,0.441,0.077,3.653,7.126,0.0
0.403,0.882,2.467,0.408,0.399,0.043,3.317,6.801,0.0
0.929,0.762,2.605,0.391,0.527,0.087,3.61,5.707,0.0
2.333,0.772,2.856,0.362,0.502,0.003,3.723,11.165,0.0
0.517,0.852,3.867,0.484,0.441,0.048,4.84,7.579,0.0
0.814,0.79,1.642,0.244,0.468,0.116,2.471,6.328,0.0
0.522,0.838,2.92,0.347,0.45,0.099,3.816,7.069,0.0
1.119,0.762,2.739,0.361,0.502,0.023,3.625,5.45,0.0
1.418,0.792,2.503,0.378,0.47,0.001,3.353,9.901,0.0
0.678,0.835,3.93,0.552,0.469,0.06,5.011,7.611,0.0
1.029,0.772,1.788,0.249,0.497,0.108,2.642,6.105,0.0
0.453,0.862,2.448,0.385,0.351,0.088,3.272,6.63,0.0
1.14,0.75,2.569,0.32,0.488,0.064,3.442,5.163,0.0
2.563,0.8,2.013,0.341,0.455,0.012,2.82,12.227,0.0
0.545,0.862,2.653,0.536,0.407,0.108,3.704,6.714,0.0
0.866,0.798,1.796,0.25,0.496,0.13,2.672,13.434,0.0
0.569,0.83,1.337,0.364,0.425,0.054,2.181,30.633,0.0
1.028,0.82,1.987,0.312,0.456,0.084,2.84,5.32,0.0
2.379,0.8,1.912,0.324,0.458,0.017,2.711,9.669,0.0
0.752,0.84,2.478,0.373,0.383,0.055,3.289,7.567,0.0
0.847,0.79,2.562,0.447,0.485,0.144,3.638,6.612,0.0
0.652,0.852,0.925,0.176,0.368,0.077,1.545,6.471,0.0
0.701,0.842,2.044,0.401,0.429,0.083,2.956,6.12,0.0
3.714,0.775,1.525,0.35,0.427,0.024,2.326,6.427,0.0
0.513,0.945,2.299,0.308,0.204,0.027,2.838,9.703,0.0
0.976,0.79,2.869,0.492,0.453,0.118,3.933,6.692,0.0
1.179,0.845,2.034,0.485,0.426,0.081,3.026,6.653,0.0
1.009,0.865,1.556,0.451,0.339,0.076,2.422,6.585,0.0
1.115,0.87,1.912,0.352,0.376,0.054,2.694,7.089,0.0
2.029,0.842,2.058,0.349,0.383,0.073,2.864,7.293,0.0
1.571,0.868,2.054,0.39,0.351,0.066,2.861,6.734,0.0
1.423,0.835,1.636,0.365,0.395,0.06,2.456,6.942,0.0
1.134,0.832,1.485,0.349,0.376,0.083,2.294,7.135,0.0
1.032,0.855,1.851,0.354,0.359,0.06,2.624,6.888,0.0
1.824,0.832,1.678,0.314,0.379,0.069,2.44,7.123,0.0
1.328,0.868,1.785,0.377,0.339,0.065,2.566,6.758,0.0
1.527,0.852,2.034,0.296,0.349,0.065,2.744,6.683,0.0
1.322,0.86,1.374,0.287,0.373,0.055,2.088,6.564,0.0
1.248,0.865,1.451,0.324,0.321,0.065,2.161,6.534,0.0
1.503,0.84,1.255,0.266,0.352,0.093,1.967,7.355,0.0
1.866,0.85,1.33,0.304,0.348,0.065,2.047,7.093,0.0
1.284,0.848,2.025,0.32,0.38,0.114,2.839,7.162,0.0
1.408,0.852,1.935,0.302,0.359,0.071,2.668,6.877,0.0
1.161,0.828,1.498,0.316,0.381,0.116,2.311,7.401,0.0
1.403,0.875,1.514,0.288,0.297,0.06,2.159,7.297,0.0
1.846,0.88,1.266,0.265,0.273,0.062,1.866,7.492,0.0
1.234,0.885,2.135,0.317,0.337,0.067,2.856,6.86,0.0
1.331,0.86,1.714,0.305,0.349,0.072,2.439,6.948,0.0
1.203,0.858,1.626,0.278,0.358,0.089,2.35,6.788,0.0
1.077,0.882,1.789,0.252,0.292,0.075,2.408,7.306,0.0
1.841,0.888,1.42,0.262,0.322,0.065,2.068,7.331,0.0
1.703,0.855,1.738,0.276,0.368,0.083,2.464,7.164,0.0
1.371,0.878,1.72,0.272,0.309,0.087,2.388,6.935,0.0
1.153,0.862,1.573,0.26,0.346,0.085,2.264,7.367,0.0
1.095,0.882,1.414,0.236,0.279,0.069,1.997,7.565,0.0
1.83,0.858,1.255,0.289,0.334,0.081,1.959,7.201,0.0
1.578,0.868,1.801,0.272,0.307,0.083,2.463,7.679,0.0
1.396,0.858,1.312,0.27,0.336,0.057,1.974,7.313,0.0
1.379,0.882,1.423,0.252,0.279,0.079,2.033,7.361,0.0
1.543,0.86,1.282,0.213,0.336,0.067,1.897,7.04,0.0
1.735,0.87,1.171,0.288,0.343,0.068,1.871,7.194,0.0
1.364,0.875,1.501,0.266,0.326,0.068,2.162,7.295,0.0
1.746,0.858,1.22,0.232,0.309,0.078,1.838,7.502,0.0
1.089,0.89,1.085,0.21,0.285,0.096,1.677,7.623,0.0
1.424,0.91,0.942,0.198,0.258,0.066,1.464,6.984,0.0
1.722,0.85,0.989,0.252,0.352,0.068,1.661,7.358,0.0
1.515,0.87,1.398,0.259,0.322,0.074,2.053,7.222,0.0
1.488,0.908,1.476,0.248,0.242,0.08,2.045,6.896,0.0
1.221,0.922,1.329,0.214,0.245,0.06,1.847,7.093,0.0
1.516,0.87,1.267,0.214,0.285,0.057,1.823,8.065,0.0
1.391,0.868,1.507,0.251,0.32,0.079,2.157,6.829,0.0
2.006,0.848,1.255,0.255,0.357,0.084,1.952,25.292,0.0
1.825,0.86,1.355,0.234,0.331,0.077,1.996,10.626,0.0
